#START7777
#--------------------------------------------------------------------------------------------------
#  TA     : 정시기온 (C) 
#  WD     : 정시 10분 평균 풍향 (degee) 
#  WS     : 정시 10분 평균 풍속 (m/s) 
#  RN_DAY : 해당시간까지의 일강수량 (mm) 
#  RN_HR1 : 1시간 강수량 (mm) 
#  HM     : 정시습도 (%) 
#  PA     : 정시 현지기압 (hPa) 
#  PS     : 정시 해면기압 (hPa) 
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI   STN     TA     WD     WS RN_DAY RN_HR1     HM     PA     PS
#        KST    ID      C    deg    m/s     mm     mm      %    hPa    hPa
202606230100   108   22.3   25.5    2.2    0.0    0.0   76.9 1000.2 1010.1
202606230200   108   21.7   41.1    1.6    0.0    0.0   76.9 1000.0 1009.9
202606230300   108   21.3   40.8    2.0    0.0    0.0   82.9 1000.1 1010.0
202606230400   108   21.3   45.8    1.7    0.0    0.0   82.7 1000.1 1010.0
202606230500   108   21.1   52.7    3.0    0.0    0.0   82.0 1000.5 1010.4
202606230600   108   20.9   58.8    2.1    0.0    0.0   79.9 1000.8 1010.7
202606230700   108   21.5   53.4    3.0    0.0    0.0   77.0 1000.8 1010.7
202606230800   108   23.1   64.1    2.6    0.0    0.0   70.4 1000.8 1010.6
202606230900   108   24.8   89.5    2.8    0.0    0.0   66.8 1000.7 1010.5
202606231000   108   26.2   62.5    2.6    0.0    0.0   57.0 1000.8 1010.5
202606231100   108   27.3   85.8    3.4    0.0    0.0   49.4 1000.6 1010.3
202606231200   108   28.3   85.7    2.3    0.0    0.0   45.4 1000.3 1009.9
202606231300   108   29.0   56.6    3.6    0.0    0.0   42.6  999.8 1009.4
202606231400   108   29.5   80.8    3.0    0.0    0.0   38.2  999.4 1009.0
202606231500   108   30.6   93.3    2.6    0.0    0.0   35.1  998.9 1008.5
202606231600   108   30.6  127.4    2.6    0.0    0.0   33.1  998.5 1008.1
202606231700   108   30.8   56.9    2.2    0.0    0.0   34.3  998.3 1007.8
202606231800   108   30.3   50.4    2.3    0.0    0.0   34.6  998.5 1008.1
202606231900   108   29.3   40.8    2.6    0.0    0.0   38.0  998.7 1008.3
202606232000   108   28.2  319.5    0.8    0.0    0.0   40.4  999.0 1008.6
202606232100   108   26.5  259.6    2.4    0.0    0.0   54.4 1000.0 1009.7
202606232200   108   25.6  144.7    2.6    0.0    0.0   54.1 1000.5 1010.2
202606232300   108   24.5  131.5    2.5    0.0    0.0   54.0 1001.1 1010.9
202606240000   108   23.4  109.5    2.8    0.0    0.0   56.3 1000.9 1010.7
202606240100   108   22.5  115.9    2.3    0.0    0.0   59.3 1000.7 1010.6
202606240200   108   22.0   63.3    1.7    0.0    0.0   63.3 1000.8 1010.7
202606240300   108   21.3   56.6    2.2    0.0    0.0   66.1 1000.6 1010.5
202606240400   108   20.5   86.3    2.4    0.0    0.0   66.5 1000.3 1010.2
202606240500   108   19.7   84.1    2.7    0.0    0.0   64.8 1000.3 1010.3
202606240600   108   19.2   69.5    2.3    0.0    0.0   61.0 1000.5 1010.5
202606240700   108   19.7   66.5    2.6    0.0    0.0   59.2 1000.3 1010.3
202606240800   108   21.0   56.0    2.7    0.0    0.0   56.0 1000.3 1010.2
202606240900   108   22.6   66.0    3.0    0.0    0.0   52.4  999.9 1009.7
202606241000   108   23.4   60.6    3.2    0.0    0.0   50.5 1000.0 1009.8
202606241100   108   24.6   76.5    2.9    0.0    0.0   50.6  999.6 1009.4
202606241200   108   26.0   61.8    2.4    0.0    0.0   45.2  999.1 1008.8
202606241300   108   26.7   85.6    3.0    0.0    0.0   44.3  998.9 1008.6
202606241400   108   27.3   64.3    2.4    0.0    0.0   44.0  998.4 1008.1
202606241500   108   27.6   56.7    2.4    0.0    0.0   44.2  997.8 1007.4
202606241600   108   27.9   60.0    2.4    0.0    0.0   46.1  997.0 1006.6
202606241700   108   28.6   39.5    1.9    0.0    0.0   42.9  996.7 1006.3
202606241800   108   28.5   49.4    2.2    0.0    0.0   43.1  996.5 1006.1
202606241900   108   27.6   31.1    2.3    0.0    0.0   46.2  996.5 1006.1
202606242000   108   26.4  122.8    2.2    0.0    0.0   50.6  996.6 1006.3
202606242100   108   25.7   56.7    1.6    0.0    0.0   53.3  997.0 1006.7
202606242200   108   24.9  129.7    2.7    0.0    0.0   53.3  997.4 1007.1
202606242300   108   24.0  134.7    2.4    0.0    0.0   55.4  997.4 1007.2
202606250000   108   23.3  112.5    2.2    0.0    0.0   56.4  997.0 1006.8
202606250100   108   22.7   63.4    1.7    0.0    0.0   57.0  996.7 1006.5
202606250200   108   22.3   48.9    3.2    0.0    0.0   59.7  996.6 1006.4
202606250300   108   21.8   53.0    2.2    0.0    0.0   61.0  996.5 1006.3
202606250400   108   21.2   48.8    2.8    0.0    0.0   60.0  996.1 1006.0
202606250500   108   21.1   50.0    2.8    0.0    0.0   59.8  996.5 1006.4
